model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
net,12,stayer,5137,235.33106994628906,1864.4897460937502,0.39244695347479075,-7.849061918710506,12.626043805372015,147642.96875,0.6834728440724158,0.6706203314048383,0.6960511490002378,732939.625,0.9260268639283629,0.9185467874422601,0.9328702256787043,2481839.25,0.9883200311465836,0.984995510572609,0.9909147372747472
net,12,mover,863,1504.081298828125,3445.97724609375,0.031286210892236384,-10.718415233721098,12.640518067526616,147393.453125,0.12746234067207415,0.10685118873164182,0.1513754584435745,747159.6875,0.3719582850521437,0.34034505959583516,0.40470640078631537,2531048.75,0.8180764774044033,0.7909462692664295,0.8423874332231602
net,12,mover_0_500km,113,367.4941101074219,1313.4585449218748,0.17699115044247787,-8.820229216876733,12.498308485775635,122495.1875,0.3893805309734513,,,674343.3125,0.7168141592920354,,,2379166.5,0.9823008849557522,,
net,12,mover_500_1500km,319,1053.6253662109375,1825.1564697265624,0.006269592476489028,-10.859916273612477,12.757460301247985,169813.0,0.11912225705329153,,,790001.3125,0.335423197492163,,,2486749.25,0.8213166144200627,,
net,12,mover_1500km_plus,431,2428.120849609375,3736.507080078125,0.01160092807424594,-11.111353025317532,12.54474616452318,136339.890625,0.06496519721577726,,,738891.25,0.308584686774942,,,2592634.75,0.7726218097447796,,
net+mix,12,all,6000,340.8665771484375,2377.9736572265633,0.3375,-8.288870248251575,13.016070502900611,202719.46875,0.658,,,1020287.71875,0.889,,,2976885.125,0.973,,
net+mix,12,stayer,5137,237.26046752929688,1869.485717773438,0.38874829667120886,-7.94714106972757,13.015093377597086,202952.59375,0.7383686976834728,0.7261743434212492,0.7502068000864596,1018176.4375,0.9456881448316138,0.9391508792828448,0.951559311048637,2974249.5,0.9879306988514698,0.9845589034875301,0.9905732616427864
net+mix,12,mover,863,1493.9151611328125,3467.2708984375017,0.03244495944380069,-10.323010213579291,13.022561669231289,200701.28125,0.17960602549246812,0.1554325638931379,0.20661928041151936,1025234.6875,0.5515643105446119,0.5182268953779978,0.584444688450005,2995282.5,0.884125144843569,0.8610471615529922,0.9037984573005562
net+mix,12,mover_0_500km,113,367.4941101074219,1313.4585449218748,0.17699115044247787,-8.780829348016155,12.891535042868865,171133.734375,0.4424778761061947,,,970226.25,0.8053097345132744,,,2826666.5,0.9911504424778761,,
net+mix,12,mover_500_1500km,319,1058.0894775390625,1825.1564697265624,0.006269592476489028,-10.448914048121404,13.11373035411277,227319.25,0.15673981191222572,,,1064954.125,0.5235109717868338,,,2944245.0,0.8996865203761756,,
net+mix,12,mover_1500km_plus,431,2420.003173828125,3739.7587890625,0.013921113689095127,-10.634154330956784,12.943760248947232,186287.140625,0.12761020881670534,,,1022628.0,0.505800464037123,,,3065054.75,0.8445475638051044,,
bayes(rho=0),12,all,6000,418.26283264160156,2509.6381347656265,0.3045,-8.220956152178834,12.761363552169945,185631.265625,0.615,,,828344.375,0.8556666666666667,,,2334171.25,0.9465,,
