ordering,k,n,median_km,mean_km,p90_km,within_150km,state_acc,logscore,calib_err,cover50,cover80,cover95,d_vs_mi,d_lo,d_hi,win_rate,tie_rate,same_set
net,19,8000,304.30767822265625,748.9237670898438,2190.432861328125,0.368125,0.45375,-8.027241959746169,0.047333333333333304,0.5845,0.8345,0.927,30.712188720703125,14.245674133300781,44.42799530029296,0.27175,0.431125,0
net,20,8000,295.4679260253906,740.7199096679688,2164.981201171875,0.372875,0.459375,-7.99577249658501,0.046291666666666655,0.58325,0.831875,0.92625,33.519012451171875,18.868586349487305,47.33564758300781,0.262,0.43725,0
net,21,8000,280.4219055175781,728.635498046875,2153.07568359375,0.38375,0.466875,-7.962694941418178,0.04758333333333331,0.584125,0.83125,0.922625,25.128509521484375,12.424054718017578,38.01300926208496,0.266,0.443125,0
net,22,8000,266.3135070800781,720.9619750976562,2136.49365234375,0.393375,0.4725,-7.919646933032322,0.04841666666666666,0.587125,0.83125,0.923125,21.473602294921875,9.762146759033204,33.819327926635744,0.237375,0.49775,0
net,23,8000,256.44561767578125,709.8607788085938,2104.44287109375,0.3975,0.479,-7.8943501357212575,0.04974999999999996,0.589,0.82975,0.9195,30.104690551757812,21.0037899017334,44.30945739746094,0.246875,0.463875,0
net,24,8000,241.50254821777344,696.059326171875,2112.115234375,0.40875,0.491125,-7.853509260272292,0.048333333333333305,0.584875,0.828,0.917875,32.97772216796875,23.627373123168944,45.591296005249006,0.221375,0.5165,0
net,25,8000,236.80630493164062,690.1001586914062,2102.118408203125,0.415625,0.495375,-7.832521363930239,0.04845833333333327,0.584375,0.827375,0.916375,33.087493896484375,22.175996017456054,43.22693443298339,0.21475,0.526375,0
net,26,8000,212.71823120117188,664.2781982421875,2027.322509765625,0.432,0.512875,-7.807727047640519,0.04904166666666665,0.585,0.82225,0.910125,15.243682861328125,8.080292892456054,25.94880332946776,0.202,0.56875,0
net,27,8000,207.7703857421875,657.5887451171875,2020.9727783203125,0.43725,0.518875,-7.802460381403956,0.04808333333333329,0.581625,0.81975,0.907125,14.313995361328125,6.259258270263672,21.599359893798827,0.201,0.57425,0
net,28,8000,202.17864990234375,649.568603515625,1996.3634033203125,0.4415,0.524375,-7.7885097960633685,0.04858333333333331,0.5825,0.818875,0.905625,13.356704711914062,7.0469409942626955,22.283708190917963,0.18775,0.595125,0
net,29,8000,199.32046508789062,648.557861328125,1986.7705078125,0.443,0.524625,-7.768962013837895,0.04849999999999995,0.58275,0.816125,0.903375,16.640670776367188,9.615789031982422,25.346015167236327,0.2075,0.555,0
net,30,8000,194.5835723876953,642.9171142578125,1975.916259765625,0.449,0.528,-7.756854337835567,0.04958333333333331,0.58325,0.816375,0.900875,19.157058715820312,10.38381462097168,26.059647369384763,0.2245,0.520875,0
mi+rho_q,1,8000,1109.880126953125,1415.748779296875,3806.438720703125,0.108,0.10425,-9.434905304301864,0.01824999999999999,0.527125,0.820875,0.95675,0.0,0.0,0.0,0.0,1.0,1
mi+rho_q,2,8000,963.4110107421875,1384.1727294921875,3807.2763671875,0.1225,0.111375,-9.29833767996082,0.03258333333333333,0.55,0.835,0.96275,-19.207763671875,-33.03235626220703,-6.406091308593751,0.027875,0.958125,0
mi+rho_q,3,8000,1041.779052734375,1394.3778076171875,3640.63427734375,0.1495,0.148625,-9.192659904915475,0.042541666666666665,0.5675,0.844625,0.9655,133.52130126953125,110.3569564819336,162.55768585205078,0.08275,0.765125,0
mi+rho_q,4,8000,968.9068603515625,1341.5855712890625,3598.828125,0.163875,0.173625,-9.120479815194088,0.051708333333333356,0.580875,0.855375,0.968875,132.3626708984375,111.93079376220703,159.79761505126953,0.094875,0.729375,0
mi+rho_q,5,8000,871.6751708984375,1287.170654296875,3523.8017578125,0.171625,0.193625,-9.045059722201978,0.05833333333333335,0.591875,0.862625,0.9705,163.90484619140625,139.41854858398438,188.3632858276367,0.106,0.70875,0
mi+rho_q,6,8000,853.2356567382812,1270.5322265625,3492.345458984375,0.1755,0.215875,-8.99639180678419,0.06341666666666668,0.602125,0.866125,0.972,172.57183837890625,149.41870574951173,196.98503875732422,0.12225,0.66925,0
mi+rho_q,7,8000,825.22607421875,1224.06005859375,3310.9599609375,0.177875,0.2265,-8.947374278294618,0.07012499999999999,0.616625,0.871875,0.971875,216.53570556640625,191.63443450927736,243.48809967041012,0.126,0.600125,0
mi+rho_q,8,8000,798.7356567382812,1191.6827392578125,3204.798828125,0.189375,0.24025,-8.913870201444828,0.07354166666666666,0.62375,0.874625,0.97225,236.61578369140625,206.17987518310548,260.2462463378906,0.13975,0.5395,0
mi+rho_q,9,8000,782.721435546875,1187.705810546875,3246.537353515625,0.189875,0.242375,-8.88497885833591,0.07708333333333335,0.629625,0.878125,0.9735,260.64288330078125,239.0213768005371,292.32930526733395,0.1405,0.511,0
mi+rho_q,10,8000,803.5426025390625,1209.49169921875,3409.355712890625,0.189125,0.239125,-8.878204073089895,0.08145833333333334,0.636375,0.883875,0.974125,318.6319274902344,290.67592849731443,347.2293968200683,0.14975,0.4495,0
mi+rho_q,11,8000,823.44580078125,1225.822509765625,3439.05126953125,0.184375,0.230125,-8.880652251434867,0.08275000000000003,0.63875,0.886,0.9735,375.578125,347.88412017822264,409.052668762207,0.165375,0.396,0
mi+rho_q,12,8000,847.355712890625,1238.2557373046875,3439.05126953125,0.181625,0.225375,-8.870159465013133,0.08479166666666667,0.641,0.88775,0.975625,429.07171630859375,396.8968475341797,458.66706771850585,0.157,0.369,0
mi+rho_q,13,8000,750.51220703125,1161.6773681640625,3153.941650390625,0.187625,0.2405,-8.854951407025693,0.08762500000000002,0.647375,0.889125,0.976375,370.37542724609375,340.14460678100585,399.2264579772949,0.170625,0.3475,0
mi+rho_q,14,8000,817.7489013671875,1207.14453125,3395.342529296875,0.175125,0.221125,-8.880091447109411,0.08650000000000002,0.64375,0.889125,0.976625,466.8897705078125,438.7526626586914,498.9068618774414,0.17,0.297375,0
mi+rho_q,15,8000,825.42578125,1228.3907470703125,3484.779052734375,0.1725,0.216625,-8.874527716737314,0.08600000000000001,0.64225,0.889625,0.976125,498.5384826660156,467.4846382141113,529.2374557495117,0.17175,0.27725,0
