true_rho,realised_rho,theta,movers,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.18,0.16994794202567357,0.380859375,0,0.09,12,493.7536039013112,2495.74882491869,0.25416666666666665,0.3325,0.4841666666666667,-8.42609023849137,0.12388888888888887,0.7016666666666667,0.9316666666666666,0.9883333333333333
0.18,0.16994794202567357,0.380859375,0,0.09,16,430.7447371849714,2350.2986706038128,0.28,0.3575,0.5066666666666667,-8.2817619996268,0.13555555555555554,0.7266666666666667,0.9408333333333333,0.9891666666666666
0.18,0.16994794202567357,0.380859375,0,0.09,20,399.6569159128768,2268.651313332052,0.28833333333333333,0.3725,0.53,-8.227108623945092,0.14166666666666664,0.7358333333333333,0.9458333333333333,0.9933333333333333
0.18,0.16994794202567357,0.380859375,0,0.13,5,804.4565661456618,3450.2907225449703,0.18,0.20916666666666667,0.3466666666666667,-8.885099941256309,0.08111111111111109,0.6208333333333333,0.8933333333333333,0.9791666666666666
0.18,0.16994794202567357,0.380859375,0,0.13,8,635.3491933746011,2869.75730441947,0.21583333333333332,0.2825,0.4058333333333333,-8.717077747150716,0.0997222222222222,0.6591666666666667,0.9066666666666666,0.9833333333333333
0.18,0.16994794202567357,0.380859375,0,0.13,12,568.4782425577316,2680.7798382335286,0.22416666666666665,0.2991666666666667,0.44583333333333336,-8.595519814895097,0.11916666666666668,0.6991666666666667,0.9225,0.9858333333333333
0.18,0.16994794202567357,0.380859375,0,0.13,16,555.3403914708947,2689.1374916683867,0.23666666666666666,0.3025,0.43833333333333335,-8.496652295812554,0.13055555555555556,0.7216666666666667,0.9325,0.9875
0.18,0.16994794202567357,0.380859375,0,0.13,20,552.856350527396,2720.128056483598,0.23833333333333334,0.2975,0.43833333333333335,-8.465219410849473,0.12888888888888886,0.7158333333333333,0.9316666666666666,0.9891666666666666
0.18,0.16994794202567357,0.380859375,0,0.177,5,852.6716712830466,3502.4067370671196,0.17333333333333334,0.19333333333333333,0.33,-8.94889406088106,0.07777777777777779,0.6166666666666667,0.8891666666666667,0.9775
0.18,0.16994794202567357,0.380859375,0,0.177,8,747.0913782219338,3336.5151420453085,0.19833333333333333,0.25416666666666665,0.37,-8.826946036913851,0.09333333333333331,0.6475,0.9025,0.98
0.18,0.16994794202567357,0.380859375,0,0.177,12,677.8695385909165,2923.756623010354,0.19416666666666665,0.25166666666666665,0.38916666666666666,-8.747550817669168,0.10722222222222222,0.6775,0.9133333333333333,0.9808333333333333
0.18,0.16994794202567357,0.380859375,0,0.177,16,746.2356472366941,3336.5151420453085,0.19166666666666668,0.23666666666666666,0.365,-8.68127537194976,0.11444444444444442,0.6916666666666667,0.9175,0.9841666666666666
0.18,0.16994794202567357,0.380859375,0,0.177,20,817.9788423206676,3465.2750701444475,0.19166666666666668,0.22583333333333333,0.355,-8.663633010633303,0.11972222222222222,0.7,0.9241666666666667,0.985
0.3,0.2886919720513986,0.498046875,0,0.0,5,627.7039975063835,3164.5623400701334,0.215,0.24416666666666667,0.4,-8.676392989477687,0.07166666666666666,0.6041666666666666,0.8841666666666667,0.9766666666666667
