model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
net,30,mover_0_500km,112,341.8831787109375,1183.3397583007816,0.19642857142857142,-8.91001891101087,11.488710682307207,62149.0234375,0.29464285714285715,,,257768.5234375,0.5714285714285714,,,1676593.25,0.9464285714285714,,
net,30,mover_500_1500km,334,1046.6732788085938,1537.1634033203125,0.005988023952095809,-11.452147275345627,11.740446878309418,75508.80078125,0.03293413173652695,,,323488.4375,0.1317365269461078,,,1840334.5625,0.6856287425149701,,
net,30,mover_1500km_plus,450,2364.146240234375,3805.795825195313,0.0022222222222222222,-11.49348363996147,11.750390823162773,72408.9140625,0.008888888888888889,,,336602.796875,0.13777777777777778,,,1914087.25,0.7133333333333334,,
net+mix,30,all,6000,155.10313415527344,1799.8227294921878,0.49183333333333334,-7.734918870205722,12.29600457058196,100067.4609375,0.6971666666666667,,,641029.25,0.8948333333333334,,,2544779.625,0.9731666666666666,,
net+mix,30,stayer,5104,117.98159790039062,1040.460192871093,0.5732758620689655,-7.232018342295279,12.297421503901328,99938.6953125,0.804858934169279,0.7937586826381163,0.8155006178069092,641567.0,0.9719827586206896,0.967088247792572,0.9761673144002727,2545669.875,0.9943181818181818,0.9918518356724066,0.996040976038904
net+mix,30,mover,896,1526.2218017578125,3400.783203125,0.027901785714285716,-10.599655805981287,12.294923099006166,100853.109375,0.08370535714285714,0.06730017315707629,0.10366502782940842,637488.625,0.45535714285714285,0.4230081124441323,0.4880873514686275,2542208.625,0.8526785714285714,0.827966149383557,0.8743796857056408
net+mix,30,mover_0_500km,112,339.54754638671875,1136.0646850585938,0.19642857142857142,-8.84115894199099,12.096610891478285,85097.95703125,0.3482142857142857,,,526905.65625,0.7946428571428571,,,2417451.75,0.9553571428571429,,
net+mix,30,mover_500_1500km,334,1054.6798706054688,1547.4488281249999,0.005988023952095809,-10.875316919840152,12.318551089589725,107025.734375,0.05688622754491018,,,643064.84375,0.36227544910179643,,,2528042.0,0.8592814371257484,,
net+mix,30,mover_1500km_plus,450,2364.146240234375,3805.795825195313,0.0022222222222222222,-10.832724332065853,12.340190891770945,102107.5546875,0.03777777777777778,,,657491.3125,0.44,,,2595891.125,0.8222222222222222,,
bayes(rho=0),30,all,6000,183.85584259033203,1906.3710449218759,0.458,-7.749290028807112,11.383128113632232,63732.09375,0.5796666666666667,,,298307.03125,0.806,,,1002520.03125,0.8938333333333334,,
bayes(rho=0),30,stayer,5104,131.60550689697266,1312.9167480468748,0.5327194357366771,-6.834855867482326,11.391481584556072,64401.83984375,0.6714341692789969,0.6584235678927212,0.6841868999025215,298472.25,0.9196708463949843,0.9118945196026522,0.9268159055601013,1008560.15625,0.9884404388714734,0.9851187002806459,0.9910274668205423
bayes(rho=0),30,mover,896,1474.4201049804688,3406.427490234375,0.03236607142857143,-12.958298912067944,11.34956607632473,61386.49609375,0.056919642857142856,0.04355516860975972,0.07406731072438086,294331.75,0.15848214285714285,0.13603430402762434,0.18384599490498776,967934.625,0.3549107142857143,0.3242601398551669,0.3868001178613023
bayes(rho=0),30,mover_0_500km,112,309.87030029296875,620.6735290527345,0.22321428571428573,-9.780907048507945,10.526647635106812,36413.126953125,0.20535714285714285,,,170266.09375,0.4107142857142857,,,629420.34375,0.6875,,
bayes(rho=0),30,mover_500_1500km,334,1063.9727783203125,1516.4852783203123,0.008982035928143712,-13.1705905589932,11.401464038703214,61691.94140625,0.04491017964071856,,,309722.71875,0.1437125748502994,,,979896.53125,0.3323353293413174,,
bayes(rho=0),30,mover_1500km_plus,450,2333.5360107421875,3790.9953613281255,0.0022222222222222222,-13.591548864613904,11.423918356587448,65959.08203125,0.028888888888888888,,,307783.203125,0.10666666666666667,,,1051708.125,0.28888888888888886,,
